source,run,metric,tag,step,wall_time,value
tensorboard,baseline,mean_reward,rewards/train/score/mean,0,1780933111.98113,0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,1,1780933112.4335392,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,2,1780933113.140269,0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,3,1780933113.5079763,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,4,1780933115.162576,-2.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,5,1780933115.5106657,3.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,6,1780933116.0342536,0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,7,1780933116.3803473,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,8,1780933118.0424776,-1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,9,1780933118.474762,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,10,1780933120.1333094,-1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,11,1780933120.4689374,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,12,1780933121.06197,-0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,13,1780933121.487659,-0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,14,1780933121.7280326,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,15,1780933122.4992168,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,16,1780933122.997446,0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,17,1780933124.657313,-1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,18,1780933125.0344484,-1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,19,1780933126.6902874,-2.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,20,1780933127.444082,0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,21,1780933127.9512708,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,22,1780933128.3553472,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,23,1780933128.8269286,0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,24,1780933129.0983324,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,25,1780933129.4071844,0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,26,1780933129.7584467,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,27,1780933130.2843332,0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,28,1780933130.6119735,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,29,1780933131.5705156,0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,30,1780933132.1471436,3.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,31,1780933132.4945972,-0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,32,1780933132.892975,0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,33,1780933133.5403988,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,34,1780933135.203846,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,35,1780933136.8608668,-1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,36,1780933137.2633996,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,37,1780933137.5468524,-0.75
tensorboard,baseline,mean_reward,rewards/train/score/mean,38,1780933138.2073984,-1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,39,1780933138.9237652,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,40,1780933139.2829964,0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,41,1780933139.620982,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,42,1780933140.0055037,-1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,43,1780933140.3941507,0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,44,1780933140.6839745,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,45,1780933141.211584,0.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,46,1780933141.8103406,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,47,1780933142.4180744,5.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,48,1780933142.8264012,0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,49,1780933143.3551924,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,50,1780933144.379713,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,51,1780933144.7175765,0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,52,1780933145.1395118,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,53,1780933145.4615304,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,54,1780933146.0076995,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,55,1780933146.4510858,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,56,1780933146.7829704,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,57,1780933147.408667,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,58,1780933148.9819832,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,59,1780933149.3703642,0.75
tensorboard,baseline,mean_reward,rewards/train/score/mean,60,1780933149.808373,0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,61,1780933150.1599953,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,62,1780933151.8184412,-1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,63,1780933153.4760802,-0.75
tensorboard,baseline,mean_reward,rewards/train/score/mean,64,1780933388.2656925,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,65,1780933388.9392335,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,66,1780933389.5158463,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,67,1780933389.9720633,-1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,68,1780933391.6298387,-1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,69,1780933392.1912105,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,70,1780933392.7933125,3.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,71,1780933393.20073,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,72,1780933393.62453,1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,73,1780933395.2812607,-2.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,74,1780933396.9393973,-1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,75,1780933397.2459226,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,76,1780933398.198132,2.75
tensorboard,baseline,mean_reward,rewards/train/score/mean,77,1780933398.7206273,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,78,1780933399.222181,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,79,1780933399.5756679,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,80,1780933399.9234157,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,81,1780933400.4874952,0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,82,1780933400.9735084,0.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,83,1780933401.372567,7.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,84,1780933401.859032,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,85,1780933402.1984153,0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,86,1780933402.7262247,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,87,1780933403.1872897,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,88,1780933403.9280403,0.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,89,1780933404.3675568,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,90,1780933404.865421,1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,91,1780933405.3972774,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,92,1780933405.9029388,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,93,1780933406.1225433,-1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,94,1780933407.7809362,-2.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,95,1780933408.2402747,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,96,1780933408.628583,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,97,1780933408.9903114,0.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,98,1780933409.5455494,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,99,1780933411.206664,-1.5
