call_index,completion_chars_mean,dataset_role,empty_response_rate,extracted_none_rate,format_accuracy,numeric_exact_rate,reward_mean,reward_std,sampled_rows
1,412.0,['train' 'train'],0.0,0.0,0.0,0.5,0.25,0.75,2
65,402.5,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
129,585.5,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
193,358.5,['val' 'val'],0.0,0.0,0.0,1.0,0.5,0.5,2
257,642.0,['val' 'val'],0.0,0.0,0.0,0.5,0.25,0.75,2
321,537.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
385,1327.5,['train' 'train'],0.0,0.5,0.0,0.0,-1.5,1.0,2
449,590.5,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
513,387.5,['val' 'val'],0.0,0.0,0.0,0.0,-1.0,0.5,2
577,1306.0,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
641,1490.5,['val' 'val'],0.0,0.5,0.0,0.5,-0.75,1.75,2
705,640.0,['val' 'val'],0.0,0.0,0.0,0.5,0.25,0.75,2
769,731.0,['val' 'val'],0.0,0.0,0.0,0.5,0.25,0.75,2
833,599.0,['train' 'train'],0.0,0.0,0.0,0.0,-0.5,0.0,2
897,774.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
961,1746.0,['val' 'val'],0.0,0.5,0.0,0.0,-2.0,0.5,2
1025,193.5,['val' 'val'],0.0,0.0,0.0,1.0,0.5,0.5,2
1089,676.0,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
1153,941.5,['val' 'val'],0.0,0.0,0.0,0.0,-1.0,0.5,2
1217,293.0,['val' 'val'],0.0,0.0,0.0,0.5,0.25,0.75,2
1281,578.0,['train' 'train'],0.0,0.0,1.0,1.0,9.0,0.0,2
1345,555.0,['val' 'val'],0.0,0.0,1.0,0.0,4.625,0.125,2
1409,274.5,['val' 'val'],0.0,0.0,1.0,1.0,9.0,0.0,2
1473,429.5,['val' 'val'],0.0,0.0,0.0,1.0,0.5,0.5,2
1537,506.0,['val' 'val'],0.0,0.0,1.0,0.5,6.25,2.75,2
1601,900.0,['val' 'val'],0.0,0.0,0.5,1.0,6.0,4.0,2
1665,302.0,['val' 'val'],0.0,0.5,0.5,0.5,4.75,4.25,2
1729,710.0,['train' 'train'],0.0,0.0,1.0,1.0,10.0,0.0,2
1793,605.5,['val' 'val'],0.0,0.0,1.0,0.0,4.5,0.0,2
1857,490.5,['val' 'val'],0.0,0.0,1.0,1.0,10.0,0.0,2
1921,1451.0,['val' 'val'],0.0,0.5,0.5,0.5,4.75,5.25,2
1985,590.0,['val' 'val'],0.0,0.0,1.0,0.0,5.125,0.625,2
2049,959.5,['val' 'val'],0.0,0.0,0.0,0.5,2.25,0.75,2
2113,498.5,['val' 'val'],0.0,0.0,1.0,0.0,4.5,0.0,2
2177,637.5,['train' 'train'],0.0,0.0,1.0,0.5,7.25,2.75,2
2241,757.5,['val' 'val'],0.0,0.0,1.0,1.0,10.0,0.0,2
2305,720.0,['val' 'val'],0.0,0.5,0.0,0.5,1.75,1.25,2
2369,724.5,['val' 'val'],0.0,0.0,1.0,0.5,7.25,2.75,2
2433,352.0,['val' 'val'],0.0,0.0,1.0,1.0,10.0,0.0,2
2497,327.0,['val' 'val'],0.0,0.0,1.0,1.0,10.0,0.0,2
2561,418.5,['val' 'val'],0.0,0.0,1.0,0.0,4.5,0.0,2
2625,656.5,['train' 'train'],0.0,0.0,1.0,0.0,4.5,0.0,2
2689,408.5,['val' 'val'],0.0,0.0,1.0,1.0,10.0,0.0,2
2753,1764.5,['val' 'val'],0.0,0.5,0.5,0.0,2.0,2.5,2
2817,617.0,['val' 'val'],0.0,0.0,1.0,1.0,10.0,0.0,2
2881,386.5,['val' 'val'],0.0,0.0,1.0,1.0,10.0,0.0,2
2945,709.0,['val' 'val'],0.0,0.0,1.0,1.0,10.0,0.0,2
3009,628.0,['train' 'train'],0.0,0.0,1.0,0.0,6.0,0.0,2
3073,477.5,['val' 'val'],0.0,0.0,1.0,0.0,5.25,0.75,2
3137,1530.0,['val' 'val'],0.0,0.5,0.5,0.0,2.0,2.5,2
3201,828.0,['val' 'val'],0.0,0.0,1.0,0.0,4.5,0.0,2
3265,429.0,['val' 'val'],0.0,0.0,1.0,1.0,10.0,0.0,2
3329,391.0,['val' 'val'],0.0,0.0,1.0,0.5,7.25,2.75,2
3393,759.5,['val' 'val'],0.0,0.0,1.0,0.5,7.25,2.75,2
3457,866.0,['train' 'train'],0.0,0.0,1.0,0.0,4.5,0.0,2
3521,728.0,['val' 'val'],0.0,0.0,1.0,0.5,7.25,2.75,2
3585,2644.0,['val' 'val'],0.0,1.0,0.0,0.0,-0.5,0.0,2
3649,1174.0,['val' 'val'],0.0,0.5,0.5,0.5,4.75,5.25,2
3713,742.5,['val' 'val'],0.0,0.0,1.0,1.0,10.0,0.0,2
3777,1021.0,['val' 'val'],0.0,0.0,1.0,0.0,4.5,0.0,2
3841,992.0,['val' 'val'],0.0,0.0,1.0,1.0,10.0,0.0,2
3905,938.5,['train' 'train'],0.0,0.0,0.5,1.0,6.5,3.5,2
3969,527.0,['val' 'val'],0.0,0.0,1.0,0.0,4.5,0.0,2
4033,604.0,['val' 'val'],0.0,0.0,1.0,1.0,10.0,0.0,2
4097,704.0,['val' 'val'],0.0,0.0,1.0,0.0,4.5,0.0,2
4161,846.0,['val' 'val'],0.0,0.0,1.0,0.0,4.5,0.0,2
4225,1496.0,['val' 'val'],0.0,0.5,0.5,0.0,2.625,3.125,2
4289,500.0,['val' 'val'],0.0,0.0,1.0,0.0,4.5,0.0,2
4353,477.0,['train' 'train'],0.0,0.0,1.0,0.5,7.25,2.75,2
4417,501.5,['val' 'val'],0.0,0.5,0.5,0.0,2.5,2.0,2
4481,528.0,['val' 'val'],0.0,0.0,1.0,1.0,10.0,0.0,2
4545,514.0,['val' 'val'],0.0,0.0,0.5,0.5,5.75,4.25,2
4609,668.5,['val' 'val'],0.0,0.0,1.0,0.5,7.25,2.75,2
4673,835.0,['val' 'val'],0.0,0.0,1.0,0.5,7.25,2.75,2
4737,489.0,['val' 'val'],0.0,0.0,0.5,0.5,5.75,4.25,2
4801,505.5,['train' 'train'],0.0,0.0,1.0,1.0,10.0,0.0,2
4865,569.5,['val' 'val'],0.0,0.0,1.0,0.0,4.5,0.0,2
4929,557.5,['val' 'val'],0.0,0.0,1.0,0.0,4.5,0.0,2
4993,726.0,['val' 'val'],0.0,0.0,1.0,0.5,7.25,2.75,2
5057,438.0,['val' 'val'],0.0,0.0,1.0,0.0,5.0,0.0,2
5121,637.0,['val' 'val'],0.0,0.0,0.5,0.0,3.0,1.5,2
