run,metric,step,value
course-baseline-001,train score mean,0,0.25
course-baseline-001,train score mean,1,1.0
course-baseline-001,train score mean,2,0.25
course-baseline-001,train score mean,3,-0.5
course-baseline-001,train score mean,4,-2.5
course-baseline-001,train score mean,5,3.5
course-baseline-001,train score mean,6,0.25
course-baseline-001,train score mean,7,1.0
course-baseline-001,train score mean,8,-1.5
course-baseline-001,train score mean,9,1.0
course-baseline-001,train score mean,10,-1.5
course-baseline-001,train score mean,11,1.0
course-baseline-001,train score mean,12,-0.25
course-baseline-001,train score mean,13,-0.25
course-baseline-001,train score mean,14,1.0
course-baseline-001,train score mean,15,1.0
course-baseline-001,train score mean,16,0.5
course-baseline-001,train score mean,17,-1.5
course-baseline-001,train score mean,18,-1.0
course-baseline-001,train score mean,19,-2.5
course-baseline-001,train score mean,20,0.25
course-baseline-001,train score mean,21,1.0
course-baseline-001,train score mean,22,1.0
course-baseline-001,train score mean,23,0.25
course-baseline-001,train score mean,24,-0.5
course-baseline-001,train score mean,25,0.5
course-baseline-001,train score mean,26,1.0
course-baseline-001,train score mean,27,0.25
course-baseline-001,train score mean,28,1.0
course-baseline-001,train score mean,29,0.25
course-baseline-001,train score mean,30,3.5
course-baseline-001,train score mean,31,-0.25
course-baseline-001,train score mean,32,0.25
course-baseline-001,train score mean,33,-0.5
course-baseline-001,train score mean,34,1.0
course-baseline-001,train score mean,35,-1.5
course-baseline-001,train score mean,36,1.0
course-baseline-001,train score mean,37,-0.75
course-baseline-001,train score mean,38,-1.0
course-baseline-001,train score mean,39,-0.5
course-baseline-001,train score mean,40,0.5
course-baseline-001,train score mean,41,1.0
course-baseline-001,train score mean,42,-1.0
course-baseline-001,train score mean,43,0.25
course-baseline-001,train score mean,44,1.0
course-baseline-001,train score mean,45,0.0
course-baseline-001,train score mean,46,1.0
course-baseline-001,train score mean,47,5.5
course-baseline-001,train score mean,48,0.25
course-baseline-001,train score mean,49,-0.5
course-baseline-001,train score mean,50,1.0
course-baseline-001,train score mean,51,0.25
course-baseline-001,train score mean,52,1.0
course-baseline-001,train score mean,53,1.0
course-baseline-001,train score mean,54,1.0
course-baseline-001,train score mean,55,1.0
course-baseline-001,train score mean,56,-0.5
course-baseline-001,train score mean,57,-0.5
course-baseline-001,train score mean,58,1.0
course-baseline-001,train score mean,59,0.75
course-baseline-001,train score mean,60,0.25
course-baseline-001,train score mean,61,-0.5
course-baseline-001,train score mean,62,-1.5
course-baseline-001,train score mean,63,-0.75
course-baseline-001,train score mean,64,1.0
course-baseline-001,train score mean,65,-0.5
course-baseline-001,train score mean,66,1.0
course-baseline-001,train score mean,67,-1.0
course-baseline-001,train score mean,68,-1.5
course-baseline-001,train score mean,69,1.0
course-baseline-001,train score mean,70,3.5
course-baseline-001,train score mean,71,1.0
course-baseline-001,train score mean,72,1.5
course-baseline-001,train score mean,73,-2.5
course-baseline-001,train score mean,74,-1.5
course-baseline-001,train score mean,75,1.0
course-baseline-001,train score mean,76,2.75
course-baseline-001,train score mean,77,-0.5
course-baseline-001,train score mean,78,1.0
course-baseline-001,train score mean,79,-0.5
course-baseline-001,train score mean,80,-0.5
course-baseline-001,train score mean,81,0.25
course-baseline-001,train score mean,82,0.0
course-baseline-001,train score mean,83,7.25
course-baseline-001,train score mean,84,-0.5
course-baseline-001,train score mean,85,0.25
course-baseline-001,train score mean,86,1.0
course-baseline-001,train score mean,87,1.0
course-baseline-001,train score mean,88,0.0
course-baseline-001,train score mean,89,1.0
course-baseline-001,train score mean,90,1.5
course-baseline-001,train score mean,91,1.0
course-baseline-001,train score mean,92,-0.5
course-baseline-001,train score mean,93,-1.5
course-baseline-001,train score mean,94,-2.5
course-baseline-001,train score mean,95,1.0
course-baseline-001,train score mean,96,1.0
course-baseline-001,train score mean,97,0.0
course-baseline-001,train score mean,98,1.0
course-baseline-001,train score mean,99,-1.5
course-baseline-001,train score mean,100,3.5
course-baseline-001,train score mean,101,0.25
course-baseline-001,train score mean,102,1.0
course-baseline-001,train score mean,103,-0.5
course-baseline-001,train score mean,104,0.25
course-baseline-001,train score mean,105,2.625
course-baseline-001,train score mean,106,1.0
course-baseline-001,train score mean,107,1.0
course-baseline-001,train score mean,108,0.25
course-baseline-001,train score mean,109,1.0
course-baseline-001,train score mean,110,1.0
course-baseline-001,train score mean,111,1.0
course-baseline-001,train score mean,112,-0.75
course-baseline-001,train score mean,113,1.0
course-baseline-001,train score mean,114,1.0
course-baseline-001,train score mean,115,-0.75
course-baseline-001,train score mean,116,-0.5
course-baseline-001,train score mean,117,-1.5
course-baseline-001,train score mean,118,1.0
course-baseline-001,train score mean,119,-1.5
course-baseline-001,train score mean,120,-1.5
course-baseline-001,train score mean,121,-1.0
course-baseline-001,train score mean,122,-1.5
course-baseline-001,train score mean,123,6.5
course-baseline-001,train score mean,124,-0.25
course-baseline-001,train score mean,125,-1.0
course-baseline-001,train score mean,126,0.5
course-baseline-001,train score mean,127,1.0
course-baseline-001,train score mean,128,-1.5
course-baseline-001,train score mean,129,-2.0
course-baseline-001,train score mean,130,-0.5
course-baseline-001,train score mean,131,3.5
course-baseline-001,train score mean,132,0.25
course-baseline-001,train score mean,133,-0.5
course-baseline-001,train score mean,134,1.0
course-baseline-001,train score mean,135,1.0
course-baseline-001,train score mean,136,3.5
course-baseline-001,train score mean,137,1.0
