eval_advantage_std,eval_all_correct_group_rate,eval_all_wrong_group_rate,eval_check_answer,eval_check_numbers,eval_completion_length,eval_empty_response_rate,eval_extracted_none_rate,eval_format_accuracy,eval_frac_reward_zero_std,eval_has_solution_end_rate,eval_kl,eval_loss,eval_match_format_approx,eval_match_format_exact,eval_numeric_exact_rate,eval_numeric_partial_rate,eval_pg_clipfrac,eval_reward_mean,eval_reward_score,eval_reward_std,jax_orbax_write_gbytes,jax_orbax_write_gbytes_per_sec,step,train_advantage_std,train_all_correct_group_rate,train_all_wrong_group_rate,train_check_answer,train_check_numbers,train_completion_length,train_empty_response_rate,train_extracted_none_rate,train_format_accuracy,train_frac_reward_zero_std,train_has_solution_end_rate,train_kl,train_loss,train_match_format_approx,train_match_format_exact,train_numeric_exact_rate,train_numeric_partial_rate,train_pg_clipfrac,train_reward_mean,train_reward_score,train_reward_std
0.33275583386421204,0.3502673804759979,0.4010695219039917,0.05681818351149559,0.7118983864784241,233.0548095703125,0.0,0.1457219272851944,0.0628342255949974,0.529411792755127,0.8114973306655884,0.004011583514511585,0.0003225577238481492,-0.6724599003791809,0.18850266933441162,0.4745989441871643,0.5026738047599792,0.0,0.07118984311819077,0.28475937247276306,0.509358286857605,0.3745117485523224,0.21108604967594147,0,0.7071061134338379,0.0,0.0,0.0,0.75,113.0,0.0,0.0,0.0,0.0,1.0,,,-0.5,0.0,0.5,0.5,,0.0625,0.25,0.75
,,,,,,,,,,,,,,,,,,,,,,,1,0.0,1.0,0.0,0.0,1.5,82.0,0.0,0.0,0.0,1.0,1.0,-0.0007692016079090536,9.4474213256035e-05,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,2,0.7071061134338379,0.0,0.0,0.0,0.75,236.0,0.0,0.0,0.0,0.0,1.0,0.002333780750632286,0.00018540426390245557,-0.5,0.0,0.5,1.0,0.0,0.0625,0.25,0.75
,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,1.0,0.0,0.0,128.5,0.0,0.0,0.0,1.0,1.0,0.0001323748438153416,-3.630909850471653e-05,-0.5,0.0,0.0,1.0,0.0,-0.125,-0.5,0.0
,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0.0,1.0,0.0,0.0,495.0,0.0,1.0,0.0,1.0,0.0,0.00492013618350029,0.0004132891772314906,-2.5,0.0,0.0,0.0,0.0,-0.625,-2.5,0.0
,,,,,,,,,,,,,,,,,,,,,,,5,0.0,0.0,1.0,-1.0,0.0,100.5,0.0,0.0,1.0,1.0,1.0,-0.000130412561702542,6.590888369828463e-05,1.5,3.0,0.0,0.0,0.0,0.875,3.5,0.0
,,,,,,,,,,,,,,,,,,,,,,,6,0.7071061134338379,0.0,0.0,0.0,0.75,203.5,0.0,0.0,0.0,0.0,1.0,-0.006763477809727192,-0.0005419129738584161,-0.5,0.0,0.5,0.5,0.0,0.0625,0.25,0.75
,,,,,,,,,,,,,,,,,,,,,,,7,0.0,1.0,0.0,0.0,1.5,123.0,0.0,0.0,0.0,1.0,1.0,0.002034466015174985,0.00016466861416120082,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,8,0.7071062922477722,0.0,1.0,0.0,0.0,426.0,0.0,0.5,0.0,0.0,0.5,0.0017850924050435424,0.00014045568241272122,-1.5,0.0,0.0,0.0,0.0,-0.375,-1.5,1.0
,,,,,,,,,,,,,,,,,,,,,,,9,0.0,1.0,0.0,0.0,1.5,142.5,0.0,0.0,0.0,1.0,1.0,0.0008906243601813912,-7.769456715323031e-05,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,10,0.7071062922477722,0.0,1.0,0.0,0.0,477.5,0.0,0.5,0.0,0.0,0.5,0.0011458882363513112,0.0001134385893237777,-1.5,0.0,0.0,0.0,0.0,-0.375,-1.5,1.0
,,,,,,,,,,,,,,,,,,,,,,,11,0.0,1.0,0.0,0.0,1.5,110.5,0.0,0.0,0.0,1.0,1.0,-0.0017115867231041193,-0.00018457829719409347,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,12,0.707106351852417,0.0,0.0,0.0,0.75,169.5,0.0,0.0,0.0,0.0,0.5,-0.013198447413742542,-0.0009736749925650656,-1.0,0.0,0.5,0.5,0.0,-0.0625,-0.25,1.25
,,,,,,,,,,,,,,,,,,,,,,,13,0.707106351852417,0.0,0.0,0.0,0.75,121.5,0.0,0.5,0.0,0.0,1.0,0.001404613140039146,3.4620490623638034e-05,-1.0,0.0,0.5,0.5,0.0,-0.0625,-0.25,1.25
,,,,,,,,,,,,,,,,,,,,,,,14,0.0,1.0,0.0,0.0,1.5,72.5,0.0,0.0,0.0,1.0,1.0,0.0064215874299407005,0.000552355544641614,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,15,0.0,1.0,0.0,0.0,1.5,267.0,0.0,0.0,0.0,1.0,1.0,5.577350748353638e-05,1.6186386346817017e-06,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,16,0.7071057558059692,1.0,0.0,0.0,1.5,168.0,0.0,0.0,0.0,0.0,0.5,0.006729365326464176,0.0006260839872993529,-1.0,0.0,1.0,1.0,0.0,0.125,0.5,0.5
,,,,,,,,,,,,,,,,,,,,,,,17,0.7071062922477722,0.0,1.0,0.0,0.0,468.0,0.0,0.5,0.0,0.0,0.5,-0.0009333008783869445,-7.528042624471709e-05,-1.5,0.0,0.0,0.0,0.0,-0.375,-1.5,1.0
,,,,,,,,,,,,,,,,,,,,,,,18,0.7071057558059692,0.0,1.0,0.0,0.0,131.0,0.0,0.5,0.0,0.0,1.0,-0.0006331745535135269,-0.0001524561084806919,-1.0,0.0,0.0,0.0,0.0,-0.25,-1.0,0.5
,,,,,,,,,,,,,,,,,,,,,,,19,0.0,0.0,1.0,0.0,0.0,768.0,0.0,1.0,0.0,1.0,0.0,0.007353557273745537,0.0006060157320462167,-2.5,0.0,0.0,0.0,0.0,-0.625,-2.5,0.0
,,,,,,,,,,,,,,,,,,,,,,,20,0.7071061134338379,0.0,0.0,0.0,0.75,249.5,0.0,0.0,0.0,0.0,1.0,0.00017171725630760193,1.3737379958911333e-05,-0.5,0.0,0.5,0.5,0.0,0.0625,0.25,0.75
,,,,,,,,,,,,,,,,,,,,,,,21,0.0,1.0,0.0,0.0,1.5,199.5,0.0,0.0,0.0,1.0,1.0,0.0035224715247750282,0.0002474968205206096,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,22,0.0,1.0,0.0,0.0,1.5,144.5,0.0,0.0,0.0,1.0,1.0,0.00016619267989881337,1.3293455594975967e-05,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
