answer_single_number_rate,call_index,dataset_role,dense_wrong_reward_std,empty_response_rate,extracted_none_rate,fallback_guarded_wrong_reward_std,fallback_number_used_rate,fallback_numeric_exact_rate,format_accuracy,guarded_wrong_reward_std,no_close_answer_rate,numeric_exact_rate,overlong_rate_1200,overlong_rate_1600,parser_false_negative_rate,reward_format_leakage,reward_hacking_rate,reward_mean,reward_mode,reward_numeric_margin,robust_numeric_exact_rate,rows,run_id
1.0,1,['train' 'train'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-0.5,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,376,['train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,377,['train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,378,['train' 'train'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,-1.0,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,379,['train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,baseline,,1.0,2,R6_lora_r32_rollout320
0.5,380,['train' 'train'],0.0,0.0,0.5,0.375,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,4.25,baseline,9.5,0.5,2,R6_lora_r32_rollout320
1.0,381,['train' 'train'],0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.25,baseline,1.5,0.5,2,R6_lora_r32_rollout320
1.0,382,['train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,baseline,,1.0,2,R6_lora_r32_rollout320
0.5,383,['train' 'train'],0.75,0.0,0.5,0.375,0.0,0.0,0.0,1.25,0.0,0.0,0.5,0.5,0.0,,0.0,-1.5,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,384,['train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,1.0,0.0,0.0,0.0,,0.0,0.5,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,385,['train' 'train'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,-1.0,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,386,['train' 'train'],0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.25,baseline,1.5,0.5,2,R6_lora_r32_rollout320
0.5,387,['train' 'train'],0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.25,baseline,1.5,0.5,2,R6_lora_r32_rollout320
0.5,388,['train' 'train'],0.0,0.0,0.5,4.125,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,-0.25,baseline,2.5,0.5,2,R6_lora_r32_rollout320
1.0,389,['train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,1.0,0.0,0.0,0.0,,0.0,0.5,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,390,['train' 'train'],0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.25,baseline,1.5,0.5,2,R6_lora_r32_rollout320
1.0,391,['train' 'train'],0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,,0.0,-0.25,baseline,0.5,0.5,2,R6_lora_r32_rollout320
1.0,392,['train' 'train'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,,0.0,-1.0,baseline,,0.0,2,R6_lora_r32_rollout320
0.5,393,['train' 'train'],2.25,0.0,0.5,1.25,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.0,baseline,,0.0,2,R6_lora_r32_rollout320
0.0,394,['train' 'train'],0.0,0.0,1.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,-1.5,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,395,['train' 'train'],0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.25,baseline,1.5,0.5,2,R6_lora_r32_rollout320
1.0,396,['train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,397,['train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,398,['train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,399,['train' 'train'],0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.25,baseline,1.5,0.5,2,R6_lora_r32_rollout320
1.0,400,['train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,401,['train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,402,['train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,1.0,0.0,0.0,0.0,,0.0,0.5,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,403,['train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,baseline,,1.0,2,R6_lora_r32_rollout320
0.5,404,['train' 'train'],0.75,0.0,0.5,0.375,0.0,0.0,0.0,1.25,0.5,0.0,0.5,0.5,0.0,,0.0,-1.0,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,405,['train' 'train'],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,3.5,baseline,,0.0,2,R6_lora_r32_rollout320
0.5,406,['train' 'train'],0.0,0.0,0.5,0.375,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,-0.25,baseline,2.5,0.5,2,R6_lora_r32_rollout320
1.0,407,['train' 'train'],0.0,0.0,0.0,2.875,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.25,baseline,1.5,0.5,2,R6_lora_r32_rollout320
0.0,408,['train' 'train'],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,-2.5,baseline,,0.0,2,R6_lora_r32_rollout320
0.5,409,['train' 'train'],0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,0.0,0.0,baseline,,0.5,2,R6_lora_r32_rollout320
1.0,410,['train' 'train'],0.625,0.0,0.0,0.875,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,,0.0,-0.5,baseline,,0.0,2,R6_lora_r32_rollout320
0.5,411,['train' 'train'],0.0,0.0,0.5,0.375,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,-0.25,baseline,2.5,0.5,2,R6_lora_r32_rollout320
1.0,412,['train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,baseline,,1.0,2,R6_lora_r32_rollout320
0.0,413,['train' 'train'],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,,0.0,-2.0,baseline,,0.0,2,R6_lora_r32_rollout320
0.5,414,['train' 'train'],0.75,0.0,0.5,0.375,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,,0.0,-1.5,baseline,,0.0,2,R6_lora_r32_rollout320
