answer_single_number_rate,call_index,dataset_role,dense_wrong_reward_std,empty_response_rate,extracted_none_rate,fallback_guarded_wrong_reward_std,fallback_number_used_rate,fallback_numeric_exact_rate,format_accuracy,guarded_wrong_reward_std,no_close_answer_rate,numeric_exact_rate,overlong_rate_1200,overlong_rate_1600,parser_false_negative_rate,reward_format_leakage,reward_hacking_rate,reward_mean,reward_mode,reward_numeric_margin,robust_numeric_exact_rate,rows,run_id
0.875,1,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],1.0374916331657278,0.0,0.125,2.893790496476896,0.0,0.0,0.0,1.5877132402714709,0.0,0.25,0.0,0.0,0.0,,0.0,0.6749999895691872,gsm8k_verifiable_format,0.833333283662796,0.25,8,R4_r12_format_lr3e-6_rollout320
1.0,376,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,1.2999999523162842,gsm8k_verifiable_format,,1.0,8,R4_r12_format_lr3e-6_rollout320
0.75,377,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],1.7716909687891083,0.0,0.25,2.6896793489187516,0.0,0.0,0.0,2.422406975624772,0.0,0.25,0.375,0.25,0.0,,0.0,0.7124999910593033,gsm8k_verifiable_format,0.7833332816759745,0.25,8,R4_r12_format_lr3e-6_rollout320
1.0,378,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.33071891388307384,0.0,0.0,0.33071891388307384,0.0,0.0,0.0,0.33071891388307384,0.125,0.0,0.0,0.0,0.0,,0.0,0.4875000105239451,gsm8k_verifiable_format,,0.0,8,R4_r12_format_lr3e-6_rollout320
1.0,379,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.0,0.0,0.0,3.6309218870694533,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,,0.0,0.7374999858438969,gsm8k_verifiable_format,0.8999999463558197,0.375,8,R4_r12_format_lr3e-6_rollout320
0.75,380,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],1.0675431782836702,0.0,0.25,1.0340870067358936,0.0,0.0,0.0,1.6461958988832404,0.125,0.0,0.125,0.125,0.0,,0.0,0.21250000316649675,gsm8k_verifiable_format,,0.0,8,R4_r12_format_lr3e-6_rollout320
1.0,381,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.5,0.125,0.0,0.0,,0.0,0.8499999791383743,gsm8k_verifiable_format,0.8999999463558197,0.5,8,R4_r12_format_lr3e-6_rollout320
1.0,382,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,1.2999999523162842,gsm8k_verifiable_format,,1.0,8,R4_r12_format_lr3e-6_rollout320
0.875,383,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.49607837082461076,0.0,0.125,0.24803918541230538,0.0,0.0,0.0,0.8267972847076845,0.0,0.0,0.125,0.125,0.0,,0.0,0.3500000052154064,gsm8k_verifiable_format,,0.0,8,R4_r12_format_lr3e-6_rollout320
0.625,384,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.7348469228349535,0.0,0.375,3.8597229094197942,0.0,0.0,0.0,1.224744871391589,0.125,0.375,0.375,0.25,0.0,,0.0,0.5249999910593033,gsm8k_verifiable_format,0.9733333031336467,0.375,8,R4_r12_format_lr3e-6_rollout320
0.75,385,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.649519052838329,0.0,0.25,0.3247595264191645,0.0,0.0,0.0,1.0825317547305484,0.125,0.0,0.25,0.25,0.0,,0.0,0.23750000353902578,gsm8k_verifiable_format,,0.0,8,R4_r12_format_lr3e-6_rollout320
1.0,386,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,1.2999999523162842,gsm8k_verifiable_format,,1.0,8,R4_r12_format_lr3e-6_rollout320
0.875,387,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.0,0.0,0.125,0.24803918541230538,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,,0.0,1.2499999552965164,gsm8k_verifiable_format,0.3999999761581421,0.875,8,R4_r12_format_lr3e-6_rollout320
1.0,388,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,1.3124999552965164,gsm8k_verifiable_format,,1.0,8,R4_r12_format_lr3e-6_rollout320
1.0,389,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,1.2999999523162842,gsm8k_verifiable_format,,1.0,8,R4_r12_format_lr3e-6_rollout320
1.0,390,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.0,0.0,0.0,3.6309218870694533,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,,0.0,0.9624999724328518,gsm8k_verifiable_format,0.8999999463558197,0.625,8,R4_r12_format_lr3e-6_rollout320
1.0,391,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.0,0.0,0.0,2.4803918541230536,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,,0.0,1.1874999590218067,gsm8k_verifiable_format,0.8999999463558197,0.875,8,R4_r12_format_lr3e-6_rollout320
0.5,392,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.75,0.0,0.5,0.5581428468591172,0.0,0.0,0.0,1.25,0.0,0.0,0.5,0.5,0.0,,0.0,0.20000000298023224,gsm8k_verifiable_format,,0.0,8,R4_r12_format_lr3e-6_rollout320
1.0,393,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.8573214099741123,0.0,0.0,2.5370304368493493,0.0,0.0,0.0,0.8573214099741123,0.125,0.375,0.0,0.0,0.0,,0.0,0.7124999947845936,gsm8k_verifiable_format,0.6733332971731822,0.375,8,R4_r12_format_lr3e-6_rollout320
0.125,394,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.0,0.0,0.875,3.6314597615834874,0.0,0.0,0.0,0.0,0.0,0.125,0.875,0.875,0.0,,0.0,0.38749998807907104,gsm8k_verifiable_format,1.0428571019853865,0.125,8,R4_r12_format_lr3e-6_rollout320
0.875,395,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.0,0.0,0.125,0.24803918541230538,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,,0.0,1.2249999567866325,gsm8k_verifiable_format,0.5999999642372131,0.875,8,R4_r12_format_lr3e-6_rollout320
1.0,396,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,1.2999999523162842,gsm8k_verifiable_format,,1.0,8,R4_r12_format_lr3e-6_rollout320
1.0,397,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,1.2999999523162842,gsm8k_verifiable_format,,1.0,8,R4_r12_format_lr3e-6_rollout320
1.0,398,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.0,0.0,0.0,3.247595264191645,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,,0.0,0.6249999925494194,gsm8k_verifiable_format,0.8999999463558197,0.25,8,R4_r12_format_lr3e-6_rollout320
1.0,399,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,1.2999999523162842,gsm8k_verifiable_format,,1.0,8,R4_r12_format_lr3e-6_rollout320
1.0,400,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.875,1.0,0.0,0.0,0.0,,0.0,0.8625000044703484,gsm8k_verifiable_format,,1.0,8,R4_r12_format_lr3e-6_rollout320
1.0,401,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,1.2999999523162842,gsm8k_verifiable_format,,1.0,8,R4_r12_format_lr3e-6_rollout320
1.0,402,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,1.2999999523162842,gsm8k_verifiable_format,,1.0,8,R4_r12_format_lr3e-6_rollout320
1.0,403,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],1.2,0.0,0.0,2.530285309999645,0.0,0.0,0.0,1.4,0.0,0.375,0.0,0.0,0.0,,0.0,0.8124999888241291,gsm8k_verifiable_format,0.7799999415874481,0.375,8,R4_r12_format_lr3e-6_rollout320
0.625,404,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.649519052838329,0.0,0.375,3.3211855469846907,0.0,0.0,0.0,1.0825317547305484,0.25,0.5,0.125,0.0,0.0,,0.0,0.8374999780207872,gsm8k_verifiable_format,0.6749999783933163,0.5,8,R4_r12_format_lr3e-6_rollout320
0.875,405,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.49607837082461076,0.0,0.125,2.2323526687107482,0.0,0.0,0.0,0.8267972847076845,0.0,0.0,0.125,0.125,0.0,,0.0,0.4625000022351742,gsm8k_verifiable_format,,0.0,8,R4_r12_format_lr3e-6_rollout320
