call_index,completion_chars_mean,dataset_role,empty_response_rate,extracted_none_rate,format_accuracy,numeric_exact_rate,reward_mean,reward_std,sampled_rows
1,355.0,['train' 'train'],0.0,0.0,0.0,0.0,-0.5,0.0,2
2,526.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
3,1041.0,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
4,1100.0,['val' 'val'],0.0,0.0,0.5,0.0,1.0,2.5,2
5,734.5,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
6,1467.5,['val' 'val'],0.0,1.0,0.0,0.0,-2.5,0.0,2
7,468.5,['val' 'val'],0.0,0.0,1.0,0.0,3.5,0.0,2
8,1001.5,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
9,633.0,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
10,855.0,['val' 'val'],0.0,0.0,0.0,0.0,-1.0,0.5,2
11,1569.5,['val' 'val'],0.0,0.5,0.0,0.0,-1.5,1.0,2
12,490.5,['val' 'val'],0.0,0.0,0.0,0.0,-1.0,0.5,2
13,757.5,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
14,427.0,['val' 'val'],0.0,0.0,0.0,1.0,0.5,0.5,2
15,647.0,['val' 'val'],0.0,0.0,0.0,0.5,0.25,0.75,2
16,305.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
17,561.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
18,350.0,['val' 'val'],0.0,0.0,0.5,0.5,4.25,4.75,2
19,647.5,['val' 'val'],0.0,0.0,0.5,0.0,1.5,2.0,2
20,846.0,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
21,701.5,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
22,645.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
23,758.5,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
24,858.0,['val' 'val'],0.0,0.5,0.0,0.0,-1.5,1.0,2
25,1617.0,['val' 'val'],0.0,0.5,0.0,0.0,-1.5,1.0,2
26,816.5,['val' 'val'],0.0,0.0,0.0,0.5,0.25,0.75,2
27,201.5,['val' 'val'],0.0,0.0,0.0,0.0,-1.0,0.5,2
28,566.0,['val' 'val'],0.0,0.0,0.0,0.5,0.25,0.75,2
29,403.0,['val' 'val'],0.0,0.0,0.0,0.5,0.25,0.75,2
30,778.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
31,468.5,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
32,783.5,['val' 'val'],0.0,0.0,0.0,0.5,0.25,0.75,2
33,1845.5,['val' 'val'],0.0,0.5,0.5,0.0,1.0,2.5,2
