global_step,segment,train_numeric_exact_rate,train_numeric_exact_rate_source_global_step,train_numeric_partial_rate,train_numeric_partial_rate_source_global_step,train_reward_score,train_reward_score_source_global_step,train_reward_gsm8k_simple_numeric_mean,train_reward_gsm8k_simple_numeric_mean_source_global_step,train_reward_gsm8k_simple_format_mean,train_reward_gsm8k_simple_format_mean_source_global_step,train_kl,train_kl_source_global_step,train_loss,train_loss_source_global_step,train_grpo_frac_reward_zero_std,train_grpo_frac_reward_zero_std_source_global_step,train_rollout_extracted_none_rate,train_rollout_extracted_none_rate_source_global_step,train_rollout_answer_single_number_rate,train_rollout_answer_single_number_rate_source_global_step
0,canonical_source,0.25,0,0.25,0,0.612500011920929,0,0.4375,0,0.17500001192092896,0,0.0011961704585701227,1,2.388431857980322e-05,1,0.0,0,0.125,0,0.875,0
32,canonical_source,1.0,32,1.0,32,1.2000000476837158,32,1.0,32,0.20000000298023224,32,0.0027070159558206797,32,4.2617273720679805e-05,32,1.0,32,0.0,32,1.0,32
64,canonical_source,1.0,64,1.0,64,1.2000000476837158,64,1.0,64,0.20000000298023224,64,0.0007846197113394737,64,7.881865894887596e-05,64,1.0,64,0.0,64,1.0,64
96,canonical_source,0.875,96,0.875,96,1.087499976158142,96,0.887499988079071,96,0.20000000298023224,96,0.006769451778382063,96,0.0002747044200077653,96,0.0,96,0.0,96,1.0,96
128,canonical_source,0.0,128,0.0,128,0.15000000596046448,128,0.10000000149011612,128,0.05000000074505806,128,0.08503662049770355,128,0.003607712686061859,128,0.0,128,0.75,128,0.25,128
160,canonical_source,0.875,160,0.875,160,1.087499976158142,160,0.887499988079071,160,0.20000000298023224,160,0.13798896968364716,160,0.005658520385622978,160,0.0,160,0.0,160,1.0,160
192,canonical_source,1.0,192,1.0,192,1.2000000476837158,192,1.0,192,0.20000000298023224,192,0.05337636545300484,192,0.0021494983229786158,192,1.0,192,0.0,192,1.0,192
224,canonical_source,0.0,224,0.25,224,0.3375000059604645,224,0.13750000298023224,224,0.20000000298023224,224,0.006603915244340897,224,0.0002641566679812968,224,0.0,224,0.0,224,1.0,224
256,canonical_source,0.375,256,0.375,256,0.5874999761581421,256,0.4375,256,0.15000000596046448,256,0.11081521213054657,256,0.005087107419967651,256,0.0,256,0.25,256,0.75,256
288,canonical_source,1.0,288,1.0,288,1.2000000476837158,288,1.0,288,0.20000000298023224,288,0.17675012350082397,288,0.0073014735244214535,288,1.0,288,0.0,288,1.0,288
320,canonical_source,0.0,320,0.0,320,0.10000000149011612,320,0.10000000149011612,320,0.0,320,0.22781266272068024,320,0.009030170738697052,320,1.0,320,1.0,320,0.0,320
352,canonical_source,0.0,352,0.125,352,0.26875001192092896,352,0.11875000596046448,352,0.15000000596046448,352,0.08984937518835068,352,0.0034332089126110077,352,0.0,352,0.25,352,0.75,352
384,canonical_source,0.75,384,0.75,384,0.9750000238418579,384,0.7749999761581421,384,0.20000000298023224,384,0.0734000876545906,384,0.004107134882360697,384,0.0,384,0.0,384,1.0,384
416,canonical_source,0.875,416,0.875,416,1.087499976158142,416,0.887499988079071,416,0.20000000298023224,416,0.10515892505645752,416,0.005022113211452961,416,0.0,416,0.0,416,1.0,416
