answer_format,extracted_none,format_ok,n,numeric,numeric_exact,reasoning_format,reward_recomputed,reward_total,robust_numeric_exact,role,rollouts_seen,trace_call_index
0.17500000000000002,0.125,0.0,8,0.4375,0.25,0.0625,0.675,0.6749999895691872,0.25,train,0.7418679016429596,1
0.2,0.0,0.0,8,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,train,278.9423310177528,376
0.15000000000000002,0.25,0.0,8,0.5125,0.25,0.05,0.7125,0.7124999910593033,0.25,train,279.6841989193958,377
0.1875,0.0,0.0,8,0.25,0.0,0.05,0.48750000000000004,0.4875000105239451,0.0,train,280.4260668210387,378
0.2,0.0,0.0,8,0.4375,0.375,0.1,0.7375,0.7374999858438969,0.375,train,281.16793472268165,379
0.1375,0.25,0.0,8,0.1,0.0,-0.024999999999999994,0.21250000000000002,0.21250000316649675,0.0,train,281.9098026243246,380
0.2,0.0,0.0,8,0.55,0.5,0.1,0.8500000000000001,0.8499999791383743,0.5,train,282.6516705259676,381
0.2,0.0,0.0,8,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,train,283.39353842761057,382
0.17500000000000002,0.125,0.0,8,0.1,0.0,0.07500000000000001,0.35000000000000003,0.3500000052154064,0.0,train,284.1354063292535,383
0.1125,0.375,0.0,8,0.4375,0.375,-0.024999999999999998,0.525,0.5249999910593033,0.375,train,284.8772742308965,384
0.1375,0.25,0.0,8,0.1,0.0,3.469446951953614e-18,0.23750000000000002,0.23750000353902578,0.0,train,285.6191421325394,385
0.2,0.0,0.0,8,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,train,286.36101003418236,386
0.17500000000000002,0.125,0.0,8,1.0,0.875,0.07500000000000001,1.25,1.2499999552965164,0.875,train,287.10287793582535,387
0.2,0.0,0.0,8,1.0,1.0,0.11250000000000002,1.3125,1.3124999552965164,1.0,train,287.8447458374683,388
0.2,0.0,0.0,8,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,train,288.58661373911127,389
0.2,0.0,0.0,8,0.6625,0.625,0.1,0.9625,0.9624999724328518,0.625,train,289.32848164075426,390
0.2,0.0,0.0,8,0.8875,0.875,0.1,1.1875,1.1874999590218067,0.875,train,290.07034954239714,391
0.1,0.5,0.0,8,0.1,0.0,0.0,0.2,0.20000000298023224,0.0,train,290.81221744404013,392
0.1875,0.0,0.0,8,0.475,0.375,0.05,0.7125,0.7124999947845936,0.375,train,291.55408534568306,393
0.025,0.875,0.0,8,0.4375,0.125,-0.07500000000000001,0.3875,0.38749998807907104,0.125,train,292.29595324732605,394
0.17500000000000002,0.125,0.0,8,1.0,0.875,0.05,1.225,1.2249999567866325,0.875,train,293.03782114896904,395
0.2,0.0,0.0,8,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,train,293.779689050612,396
0.2,0.0,0.0,8,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,train,294.5215569522549,397
0.2,0.0,0.0,8,0.325,0.25,0.1,0.625,0.6249999925494194,0.25,train,295.2634248538979,398
0.2,0.0,0.0,8,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,train,296.00529275554084,399
0.1125,0.0,0.0,8,1.0,1.0,-0.25,0.8625,0.8625000044703484,1.0,train,296.7471606571838,400
0.2,0.0,0.0,8,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,train,297.48902855882676,401
0.2,0.0,0.0,8,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,train,298.23089646046975,402
0.2,0.0,0.0,8,0.5125,0.375,0.1,0.8125,0.8124999888241291,0.375,train,298.9727643621127,403
0.1125,0.375,0.0,8,0.775,0.5,-0.049999999999999996,0.8375,0.8374999780207872,0.5,train,299.7146322637556,404
0.17500000000000002,0.125,0.0,8,0.2125,0.0,0.07500000000000001,0.4625,0.4625000022351742,0.0,train,300.4565001653986,405
0.2,0.0,0.0,8,0.8875,0.875,0.1,1.1875,1.1874999590218067,0.875,train,301.19836806704154,406
0.2,0.0,0.0,8,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,train,301.94023596868453,407
0.1,0.5,0.0,8,0.2125,0.0,0.0,0.3125,0.3125,0.0,train,302.6821038703275,408
0.2,0.0,0.0,8,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,train,303.42397177197046,409
0.0,1.0,0.0,8,0.1,0.0,-0.1,0.0,0.0,0.0,train,304.1658396736134,410
0.17500000000000002,0.125,0.0,8,1.0,0.875,0.07500000000000001,1.25,1.2499999552965164,0.875,train,304.9077075752564,411
0.2,0.0,0.0,8,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,train,305.6495754768993,412
0.125,0.375,0.0,8,0.1,0.0,0.025,0.25,0.2500000037252903,0.0,train,306.3914433785423,413
0.125,0.375,0.0,8,0.1,0.0,0.025,0.25,0.2500000037252903,0.0,train,307.13331128018524,414
0.17500000000000002,0.125,0.0,8,0.8875,0.75,0.07500000000000001,1.1375,1.137499962002039,0.75,train,307.87517918182823,415
0.2,0.0,0.0,8,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,train,586.0756422979381,790
0.2,0.0,0.0,8,0.1,0.0,0.1,0.4,0.4000000059604645,0.0,train,586.817510199581,791
0.2,0.0,0.0,8,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,train,587.559378101224,792
0.2,0.0,0.0,8,1.0,1.0,0.11250000000000002,1.3125,1.3124999552965164,1.0,train,588.301246002867,793
0.15000000000000002,0.25,0.0,8,0.1,0.0,0.05,0.30000000000000004,0.30000000447034836,0.0,train,589.0431139045098,794
0.2,0.0,0.0,8,0.775,0.75,0.1,1.075,1.0749999657273293,0.75,train,589.7849818061528,795
0.2,0.0,0.0,8,0.8875,0.875,0.1,1.1875,1.1874999590218067,0.875,train,590.5268497077958,796
0.2,0.0,0.0,8,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,train,591.2687176094387,797
0.2,0.0,0.0,8,0.325,0.25,0.1,0.625,0.6249999925494194,0.25,train,592.0105855110817,798
0.2,0.0,0.0,8,0.325,0.25,0.1,0.625,0.6249999925494194,0.25,train,592.7524534127247,799
0.15000000000000002,0.25,0.0,8,0.4375,0.25,0.07500000000000001,0.6625,0.6624999865889549,0.25,train,593.4943213143677,800
0.2,0.0,0.0,8,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,train,594.2361892160106,801
0.2,0.0,0.0,8,1.0,1.0,0.125,1.3250000000000002,1.3249999582767487,1.0,train,594.9780571176535,802
0.2,0.0,0.0,8,1.0,1.0,0.11250000000000002,1.3125,1.3124999552965164,1.0,train,595.7199250192965,803
0.2,0.0,0.0,8,0.8875,0.875,0.1,1.1875,1.1874999590218067,0.875,train,596.4617929209395,804
0.2,0.0,0.0,8,0.68125,0.625,0.1,0.9812500000000001,0.9812499731779099,0.625,train,597.2036608225825,805
