answer_format,extracted_none,format_ok,numeric,numeric_exact,reasoning_format,reward_recomputed,reward_total,robust_numeric_exact,role,trace_call_index
0.2,0.0,0.0,0.1,0.0,0.1,0.4,0.4000000059604645,0.0,train,1
0.2,0.0,0.0,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,train,1
0.2,0.0,0.0,0.1,0.0,0.1,0.4,0.4000000059604645,0.0,train,1
0.2,0.0,0.0,0.1,0.0,0.1,0.4,0.4000000059604645,0.0,train,1
0.2,0.0,0.0,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,train,1
0.2,0.0,0.0,0.1,0.0,0.2,0.5,0.5,0.0,train,1
0.0,1.0,0.0,1.0,0.0,-0.3,0.7,0.699999988079071,0.0,train,1
0.2,0.0,0.0,0.1,0.0,0.1,0.4,0.4000000059604645,0.0,train,1
0.2,0.0,0.0,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,val,2
0.2,0.0,0.0,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,val,2
0.2,0.0,0.0,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,val,2
0.2,0.0,1.0,1.0,1.0,0.6,1.8,1.7999999523162842,1.0,val,2
0.2,0.0,0.0,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,val,2
0.2,0.0,0.0,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,val,2
0.2,0.0,0.0,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,val,2
0.2,0.0,0.0,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,val,2
0.0,1.0,0.0,1.0,0.0,-0.1,0.9,0.8999999761581421,0.0,val,3
0.2,0.0,0.0,0.1,0.0,0.1,0.4,0.4000000059604645,0.0,val,3
0.2,0.0,0.0,0.1,0.0,0.1,0.4,0.4000000059604645,0.0,val,3
0.2,0.0,1.0,1.0,1.0,0.6,1.8,1.7999999523162842,1.0,val,3
0.2,0.0,0.0,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,val,3
0.0,1.0,0.0,0.1,0.0,-0.3,-0.19999999999999998,-0.20000000298023224,0.0,val,3
0.2,0.0,0.0,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,val,3
0.2,0.0,0.0,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,val,3
0.0,1.0,0.0,0.1,0.0,0.0,0.1,0.10000000149011612,0.0,val,4
